entity,total_mentions,doc_freq
도시인의내면적삶,2,1
다다이즘,2,1
논쟁,2,1
탈장르,2,1
탈국가적인상상력,2,1
작가주의문학,2,1
문학의죽음,2,1
2000년대비평,2,1
허구성,2,1
권위,2,1
자기객관화,2,1
자기기만,2,1
나쁜서정,2,1
영구회귀,2,1
보이지않는정념,2,1
집단지성,1,1
사회적양극화,1,1
아름다움,1,1
예술가,1,1
미적가치,1,1
패배의힘,1,1
외국인노동자들,1,1
노동환경,1,1
3D업종,1,1
시의정치적전위,1,1
산업연수생,1,1
미얀마,1,1
실존적고통,1,1
식민,1,1
노동시장의유연화,1,1
노동시장,1,1
노동의유연화,1,1
단일민족,1,1
민족적인종적차별,1,1
신천지,1,1
사회적상처,1,1
실존적외로움,1,1
민족적인종적배타적차별의논리,1,1
다민족,1,1
아시아계한국인,1,1
순혈주의,1,1
삶의정치적감각,1,1
국민국가,1,1
포스트서정시,1,1
생태학적상상력,1,1
포스트서정,1,1
'세계의자아화',1,1
불화감,1,1
입사의식,1,1
결필의시간,1,1
원형적세계,1,1
원형상징,1,1
원초적결들의시간,1,1
원형적상징,1,1
순한하는시간,1,1
생성-시간,1,1
신화적세계,1,1
역사적세계,1,1
'술',1,1
'사내',1,1
'안',1,1
'신화적시간',1,1
'추억',1,1
'기억',1,1
'바깥2,1,1
'귀',1,1
불모,1,1
의미의고정,1,1
소통구조,1,1
의미의비고정성,1,1
의미의불확정,1,1
언어의더듬거림,1,1
시적전락,1,1
더듬거림,1,1
부재증명,1,1
흔적,1,1
세계의언어화,1,1
언어논리학,1,1
나른문장,1,1
의미의일의성,1,1
불확정성,1,1
언어의감옥,1,1
문학적공통감,1,1
종합문예지,1,1
계간지,1,1
230년대문학,1,1
세기말의종말론,1,1
생태학적사유,1,1
자본주의적세계관,1,1
국가,1,1
국민,1,1
민족적인것,1,1
근대적인것,1,1
생태경향,1,1
인간과자연의유기적조화,1,1
불교적사유,1,1
합일,1,1
모더니티경향,1,1
탈근대사상,1,1
진영론,1,1
근대성의극복,1,1
탈근대철학,1,1
근대성비판담론,1,1
프랑스의철학,1,1
국가주의,1,1
계몽적성격,1,1
민족문학론,1,1
2000년대시의특징,1,1
문학특집,1,1
장편소설,1,1
장편,1,1
대중문학,1,1
시외정치,1,1
젊은세대의문학,1,1
젊은비평,1,1
증상,1,1
이주자,1,1
이주,1,1
주체의성찰,1,1
한국문학의주체,1,1
생명의정치와인간의윤리,1,1
현대철학,1,1
현대정치철학,1,1
정치철학적화두,1,1
진정성의에토스,1,1
탈진정성체제,1,1
종언론,1,1
문학성의죽음,1,1
2000년대문학담론,1,1
2000년대소설,1,1
탈리얼리즘,1,1
개체적비전,1,1
미학적기준,1,1
6•15시대론,1,1
젊은비평가,1,1
재난상태,1,1
미힉적전위,1,1
잉여적삶,1,1
대중독자,1,1
전문독자,1,1
젊은작가들,1,1
문학코드,1,1
철거민,1,1
시대적징후,1,1
가정이파탄,1,1
가족의붕괴,1,1
방황과상실감,1,1
타자의시선,1,1
세태풍자,1,1
신용불량,1,1
가족붕괴,1,1
절망적인현실,1,1
화해,1,1
혈연의단절,1,1
힘과권력,1,1
정신적공황,1,1
부정적세계인식,1,1
예술가소설,1,1
세계의부정성,1,1
한글,1,1
결혼이주자,1,1
노숙,1,1
청년실업자,1,1
사회적약자,1,1
변화,1,1
분열화,1,1
파편화,1,1
출구없는삶의불화,1,1
디스토피아적인얼굴,1,1
비판적형상화,1,1
생존경쟁,1,1
감원,1,1
자기계발서,1,1
일상화된비참,1,1
출구없는삶의불가능성,1,1
파국적인현실,1,1
현대사회의균열,1,1
현대사회비판,1,1
인간존재의근원적고독,1,1
인간의고독,1,1
펑크록,1,1
차가운,1,1
뜨거운,1,1
지난10년의한국문학,1,1
월경鮭境),1,1
88만원세대,1,1
자기고백적글쓰기,1,1
88만원세대의고백적글쓰기,1,1
역사적구성물,1,1
감각의분광,1,1
새로운문학적감성의출현,1,1
시적어법,1,1
감성구조의변화,1,1
전통적-동양적인시학,1,1
현대적-서구적인시학,1,1
문학적감성의변화,1,1
시인-주체,1,1
족보학,1,1
개성적인언어,1,1
시인추방론,1,1
존재론적복권,1,1
시적문법,1,1
고전주의,1,1
시각적관습,1,1
주체-객체의근대적이분법,1,1
소통불가,1,1
이해,1,1
신체,1,1
감각의폭력,1,1
회화의잔혹함,1,1
추의미학,1,1
잔혹함,1,1
다층성,1,1
존재론적인사건,1,1
주체-객체,1,1
근대적이분법,1,1
자아의중심성,1,1
자유주의적주체,1,1
1인칭화자,1,1
고백의목소리,1,1
디오니소스적충동,1,1
타자의언어,1,1
욕망의자기독백,1,1
고딕,1,1
신체표상,1,1
가치의전도,1,1
언캐니,1,1
외상,1,1
낯선얼굴,1,1
비극적정념,1,1
음화,1,1
문학의자율성,1,1
문학적무의식,1,1
뉴밀레니엄,1,1
포스트-모던,1,1
해체주의,1,1
실정성의변화,1,1
70년대생들,1,1
특이성,1,1
어려운말,1,1
미적감각,1,1
초언어적언어,1,1
